Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,79.338997,79.923111,78.820000,79.500000,79.500000,0
2003-12-08,79.190903,80.239799,78.940002,79.879997,79.879997,0
2003-12-15,80.309998,80.309998,79.010002,79.410004,79.410004,0
2003-12-22,79.169998,82.430000,78.500000,79.500000,79.500000,0
2003-12-29,79.500000,81.209999,78.949997,79.849998,79.849998,0
2004-01-05,81.059998,83.550003,80.809998,82.845703,82.845703,0
2004-01-12,82.620003,83.320999,79.059998,81.330002,81.330002,0
2004-01-19,81.450600,82.839996,80.410004,82.489998,82.489998,0
2004-01-26,82.014511,82.476700,79.599998,80.735001,80.735001,0
2004-02-02,80.780998,81.583000,79.769997,81.056999,81.056999,0
2004-02-09,81.098000,83.733803,81.098000,83.403000,83.403000,0
2004-02-16,83.413002,85.202904,83.180000,83.733002,83.733002,0
2004-02-23,83.786003,84.808998,82.926003,84.453003,84.453003,0
2004-03-01,84.497002,85.558998,81.570000,84.956001,84.956001,0
2004-03-08,84.943001,85.231201,80.549004,81.180000,81.180000,0
2004-03-15,81.172997,81.585999,79.110611,79.869003,79.869003,0
2004-03-22,79.917000,80.731003,78.004997,78.446999,78.446999,0
2004-03-29,78.407997,80.294998,78.407997,78.620003,78.620003,0
2004-04-05,78.638000,81.377998,78.638000,81.036003,81.036003,0
2004-04-12,81.073997,81.411003,79.232002,80.309998,80.309998,0
2004-04-19,80.308998,81.107002,79.244003,79.682999,79.682999,0
2004-04-26,79.698997,80.693001,78.911003,79.847000,79.847000,0
2004-05-03,79.816002,80.175003,78.699997,79.052002,79.052002,0
2004-05-10,79.053001,79.642601,78.311996,78.986000,78.986000,0
2004-05-17,78.978996,79.757004,77.771004,78.570999,78.570999,0
2004-05-24,78.600998,79.718002,78.316002,78.741997,78.741997,0
2004-05-31,78.736000,79.168198,76.204002,77.480003,77.480003,0
2004-06-07,77.482002,77.584999,75.515999,75.845001,75.845001,0
2004-06-14,75.794998,76.851997,74.356003,74.989998,74.989998,0
2004-06-21,74.990997,75.510002,74.320000,75.120003,75.120003,0
2004-06-28,75.135002,82.584000,74.510002,77.180000,77.180000,0
2004-07-05,77.139999,78.629997,77.139999,78.080002,78.080002,0
2004-07-12,78.110001,79.791000,77.989998,79.779999,79.779999,0
2004-07-19,79.779999,79.900002,77.870003,77.949997,77.949997,0
2004-07-26,77.982002,78.521004,77.410004,78.242996,78.242996,0
2004-08-02,78.199997,78.891998,77.500000,78.760002,78.760002,0
2004-08-09,78.690002,79.550003,78.682999,79.239998,79.239998,0
2004-08-16,79.232002,79.660004,78.087997,78.981003,78.981003,0
2004-08-23,78.959999,79.050003,76.814003,77.059998,77.059998,0
2004-08-30,77.059998,77.440002,75.690002,76.422997,76.422997,0
2004-09-06,76.419998,76.459999,75.209999,76.110001,76.110001,0
2004-09-13,76.156998,77.169998,76.120003,76.739998,76.739998,0
2004-09-20,76.763000,79.226997,76.599998,78.970001,78.970001,0
2004-09-27,79.000000,80.380997,78.376999,80.132004,80.132004,0
2004-10-04,80.085999,80.984001,79.610001,80.725998,80.725998,0
2004-10-11,80.713997,80.745003,79.266998,79.839996,79.839996,0
2004-10-18,79.836998,79.959999,78.610001,79.570000,79.570000,0
2004-10-25,79.559998,79.989998,78.720001,79.239998,79.239998,0
2004-11-01,79.260002,80.595001,78.989998,80.459999,80.459999,0
2004-11-08,80.510002,81.627998,79.790001,81.070000,81.070000,0
2004-11-15,81.089996,81.610001,80.554001,80.809998,80.809998,0
2004-11-22,80.809998,81.514999,80.389999,80.949997,80.949997,0
2004-11-29,80.949997,81.019997,79.199997,79.669998,79.669998,0
2004-12-06,79.660004,80.009003,78.461998,79.142998,79.142998,0
2004-12-13,79.132004,80.000000,78.650002,79.589996,79.589996,0
2004-12-20,79.570000,80.050003,79.209999,79.744003,79.744003,0
2004-12-27,79.755997,80.686996,79.730003,80.269997,80.269997,0
2005-01-03,80.309998,80.349998,79.169998,79.339996,79.339996,0
2005-01-10,79.349998,79.456001,77.129997,77.300003,77.300003,0
2005-01-17,77.309998,79.360001,76.970001,79.160004,79.160004,0
2005-01-24,79.189003,80.269997,78.860001,80.160004,80.160004,0
2005-01-31,80.175003,80.867996,79.849998,79.989998,79.989998,0
2005-02-07,80.000000,83.146004,79.870003,82.910004,82.910004,0
2005-02-14,82.900002,83.542999,82.029999,83.300003,83.300003,0
2005-02-21,83.290001,83.394997,82.220001,82.589996,82.589996,0
2005-02-28,82.599998,82.978996,81.519997,82.620003,82.620003,0
2005-03-07,82.589996,83.629997,82.000000,82.360001,82.360001,0
2005-03-14,82.349998,83.302002,82.110001,83.040001,83.040001,0
2005-03-21,83.019997,83.230003,81.540001,82.070000,82.070000,0
2005-03-28,82.059998,83.242996,82.059998,82.828003,82.828003,0
2005-04-04,82.800003,83.763000,82.540001,83.529999,83.529999,0
2005-04-11,83.540001,83.870003,82.627998,82.750000,82.750000,0
2005-04-18,82.750000,83.213997,82.050003,82.519997,82.519997,0
2005-04-25,82.489998,82.785004,81.670998,81.930000,81.930000,0
2005-05-02,81.983002,82.235001,81.000000,81.470001,81.470001,0
2005-05-09,81.500000,82.250000,81.330002,81.610001,81.610001,0
2005-05-16,81.620003,81.846001,80.639999,81.639999,81.639999,0
2005-05-23,81.681000,82.494003,81.540001,82.190002,82.190002,0
2005-05-30,82.199997,82.320000,81.129997,81.459999,81.459999,0
2005-06-06,81.430000,82.851997,81.320000,82.720001,82.720001,0
2005-06-13,82.709999,84.748001,82.559998,84.489998,84.489998,0
2005-06-20,84.510002,85.000000,83.669998,84.010002,84.010002,0
2005-06-27,83.989998,84.660004,83.629997,83.699997,83.699997,0
2005-07-04,83.589996,83.820000,82.680000,83.281998,83.281998,0
2005-07-11,83.260002,84.525002,83.093002,84.040001,84.040001,0
2005-07-18,84.040001,85.639999,83.870003,85.029999,85.029999,0
2005-07-25,85.035004,85.474998,84.699997,85.169998,85.169998,0
2005-08-01,85.161003,87.586998,84.970001,86.250000,86.250000,0
2005-08-08,86.230003,86.339996,84.370003,84.580002,84.580002,0
2005-08-15,84.592003,84.830002,82.820000,83.019997,83.019997,0
2005-08-22,83.019997,83.685997,82.660004,83.059998,83.059998,0
2005-08-29,83.089996,84.161003,82.930000,84.019997,84.019997,0
2005-09-05,84.032997,85.489998,83.589996,84.629997,84.629997,0
2005-09-12,84.629997,85.505997,81.334000,85.290001,85.290001,0
2005-09-19,85.279999,86.045998,84.620003,85.110001,85.110001,0
2005-09-26,85.110001,86.709999,84.709999,86.559998,86.559998,0
2005-10-03,86.550003,87.309998,85.739998,86.010002,86.010002,0
2005-10-10,86.010002,86.720001,85.508003,85.980003,85.980003,0
2005-10-17,85.959999,87.050003,85.709999,86.635002,86.635002,0
2005-10-24,86.620003,87.580002,86.269997,86.720001,86.720001,0
2005-10-31,86.720001,87.227997,86.330002,86.639999,86.639999,0
2005-11-07,86.650002,86.720001,85.830002,86.459999,86.459999,0
2005-11-14,86.459999,87.524002,86.330002,87.419998,87.419998,0
2005-11-21,87.410004,88.266998,87.250000,87.919998,87.919998,0
2005-11-28,87.910004,90.507004,87.769997,90.370003,90.370003,0
2005-12-05,90.389000,91.279999,89.830002,90.580002,90.580002,0
2005-12-12,90.550003,90.940002,85.762001,86.000000,86.000000,0
2005-12-19,85.989998,86.910004,84.440002,84.764999,84.764999,0
2005-12-26,84.791000,86.636002,84.699997,86.335999,86.335999,0
2006-01-02,86.441002,86.949997,85.720001,86.190002,86.190002,0
2006-01-09,86.180000,86.570999,85.540001,86.180000,86.180000,0
2006-01-16,86.209999,87.072998,85.669998,86.339996,86.339996,0
2006-01-23,86.339996,88.432999,85.739998,87.739998,87.739998,0
2006-01-30,87.739998,89.379997,87.739998,88.980003,88.980003,0
2006-02-06,88.980003,88.980003,85.809998,86.739998,86.739998,0
2006-02-13,86.739998,87.642998,86.349998,87.279999,87.279999,0
2006-02-20,87.250000,87.870003,86.059998,86.339996,86.339996,0
2006-02-27,86.365997,86.900002,85.529999,86.779999,86.779999,0
2006-03-06,86.769997,87.320000,86.110001,87.040001,87.040001,0
2006-03-13,87.010002,87.470001,84.139999,84.489998,84.489998,0
2006-03-20,84.440002,84.489998,83.169998,83.209999,83.209999,0
2006-03-27,83.239998,86.245003,82.099998,84.160004,84.160004,0
2006-04-03,84.179001,86.269997,83.800003,85.900002,85.900002,0
2006-04-10,85.889999,86.959999,85.750000,86.220001,86.220001,0
2006-04-17,86.209000,87.820000,85.718002,86.239998,86.239998,0
2006-04-24,86.269997,86.570000,85.040001,86.180000,86.180000,0
2006-05-01,86.246002,87.746002,85.739998,86.570000,86.570000,0
2006-05-08,86.598999,86.639999,84.449997,84.570000,84.570000,0
2006-05-15,84.580002,85.220001,83.669998,84.440002,84.440002,0
2006-05-22,84.459999,85.420998,83.580002,85.150002,85.150002,0
2006-05-29,85.110001,85.760002,83.550003,83.739998,83.739998,0
2006-06-05,83.759003,85.608002,83.519997,85.400002,85.400002,0
2006-06-12,85.410004,85.629997,84.589996,85.050003,85.050003,0
2006-06-19,85.019997,85.443001,84.360001,85.099998,85.099998,0
2006-06-26,85.120003,85.454002,84.559998,84.879997,84.879997,0
2006-07-03,84.879997,86.099998,84.800003,85.639999,85.639999,0
2006-07-10,85.639999,87.760002,85.110001,87.570000,87.570000,0
2006-07-17,87.580002,88.029999,87.160004,87.360001,87.360001,0
2006-07-24,87.370003,88.884003,87.349998,87.940002,87.940002,0
2006-07-31,87.949997,87.954002,87.199997,87.559998,87.559998,0
